"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 04 17:10:10 BDT 2023","Sat Mar 04 17:10:12 BDT 2023","1929","Default suite","Default test","testcases.FullTest","testcases.FullTest","ainunNishatButtonCheck","Ainun Nishat button clickable?",""
"passed","Sat Mar 04 20:59:34 BDT 2023","Sat Mar 04 20:59:37 BDT 2023","3556","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","emailCheckWithSpecialCharacters","Wrong Emails",""
"passed","Sat Mar 04 15:31:13 BDT 2023","Sat Mar 04 15:31:16 BDT 2023","3880","Default suite","Default test","testcases.FullTest","testcases.FullTest","noPass","username with no password",""
"passed","Sat Mar 04 20:59:40 BDT 2023","Sat Mar 04 20:59:43 BDT 2023","2542","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","noPass","username with no password",""
"passed","Sat Mar 04 17:46:23 BDT 2023","Sat Mar 04 17:46:30 BDT 2023","6815","Default suite","Default test","testcases.FullTest","testcases.FullTest","clickAbookFromList","choosing a book from list",""
"broken","Sat Mar 04 19:48:45 BDT 2023","Sat Mar 04 19:48:53 BDT 2023","7792","Default suite","Default test","testcases.FullTest","testcases.FullTest","confirmOrderWithAllEmptyField","No giving information works?",""
"passed","Sat Mar 04 20:59:52 BDT 2023","Sat Mar 04 20:59:57 BDT 2023","5409","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","checkoutBottonClickable","Checkout button clickable?",""
"passed","Thu Mar 02 03:18:22 BDT 2023","Thu Mar 02 03:18:26 BDT 2023","4513","Default suite","Default test","pages.LoginPage","pages.LoginPage","doLogin","doLogin",""
"passed","Sat Mar 04 20:59:46 BDT 2023","Sat Mar 04 20:59:47 BDT 2023","1267","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","lekhokBtnCheck","Lekhok button check",""
"passed","Sat Mar 04 20:59:37 BDT 2023","Sat Mar 04 20:59:40 BDT 2023","2879","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","noMailPass","No Input",""
"broken","Sat Mar 04 15:28:49 BDT 2023","Sat Mar 04 15:28:53 BDT 2023","4351","Default suite","Default test","testcases.FullTest","testcases.FullTest","noPass","username with no password",""
"broken","Sat Mar 04 20:59:58 BDT 2023","Sat Mar 04 21:00:07 BDT 2023","9264","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","confirmOrderWithAllEmptyField","No giving information works?",""
"passed","Sat Mar 04 16:50:57 BDT 2023","Sat Mar 04 16:50:59 BDT 2023","2263","Default suite","Default test","testcases.FullTest","testcases.FullTest","lekhokBtnCheck","Lekhok button check",""
"passed","Sat Mar 04 20:59:47 BDT 2023","Sat Mar 04 20:59:48 BDT 2023","750","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","ainunNishatButtonCheck","Ainun Nishat button clickable?",""
"passed","Sat Mar 04 20:59:29 BDT 2023","Sat Mar 04 20:59:31 BDT 2023","2003","Suite","Test","testcases.FunctionalTestCases","testcases.FunctionalTestCases","loginTest","LoginTest",""
"passed","Sat Mar 04 00:31:44 BDT 2023","Sat Mar 04 00:31:48 BDT 2023","3920","Default suite","Default test","testcases.FullTest","testcases.FullTest","loginTest","LoginTest",""
